rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.31,0.26,94.9
2,2,Bayern Munich,German Bundesliga,3.39,0.42,93.51
3,3,Liverpool,Barclays Premier League,2.97,0.28,92.96
4,5,Paris Saint-Germain,French Ligue 1,2.93,0.48,89.81
5,4,Barcelona,Spanish Primera Division,2.95,0.49,89.78
6,6,Real Madrid,Spanish Primera Division,2.85,0.47,89.34
7,7,Atletico Madrid,Spanish Primera Division,2.2,0.3,86.53
8,8,Chelsea,Barclays Premier League,2.61,0.55,85.86
9,9,Juventus,Italy Serie A,2.52,0.54,85.12
10,11,Leicester City,Barclays Premier League,2.34,0.47,84.51
11,10,RB Leipzig,German Bundesliga,2.63,0.64,84.31
12,13,Tottenham Hotspur,Barclays Premier League,2.53,0.64,83.27
13,16,Borussia Dortmund,German Bundesliga,2.52,0.72,81.61
14,15,Bayer Leverkusen,German Bundesliga,2.33,0.61,81.38
15,12,Ajax,Dutch Eredivisie,2.91,0.97,81.33
16,18,Manchester United,Barclays Premier League,2.18,0.55,80.76
17,17,Sevilla FC,Spanish Primera Division,2.13,0.52,80.68
18,14,FC Salzburg,Austrian T-Mobile Bundesliga,2.93,1.04,80.33
19,20,Internazionale,Italy Serie A,2.34,0.69,79.89
20,19,Napoli,Italy Serie A,2.25,0.65,79.47
21,21,Getafe,Spanish Primera Division,1.78,0.4,78.51
22,26,Real Sociedad,Spanish Primera Division,2.08,0.61,78.11
23,27,Benfica,Portuguese Liga,2.27,0.74,77.76
24,22,Everton,Barclays Premier League,2.09,0.64,77.53
25,28,Atalanta,Italy Serie A,2.36,0.85,76.85
26,25,AS Roma,Italy Serie A,2.1,0.68,76.68
27,24,Zenit St Petersburg,Russian Premier Liga,2.03,0.64,76.67
28,23,FC Porto,Portuguese Liga,1.93,0.58,76.55
29,29,Arsenal,Barclays Premier League,2.26,0.84,75.5
30,31,Borussia Monchengladbach,German Bundesliga,2.24,0.84,75.31
31,33,Wolverhampton,Barclays Premier League,1.91,0.62,75.05
32,30,Athletic Bilbao,Spanish Primera Division,1.79,0.56,74.55
33,35,Lazio,Italy Serie A,2.15,0.82,74.31
34,32,Eintracht Frankfurt,German Bundesliga,2.14,0.82,74.06
35,36,AC Milan,Italy Serie A,1.91,0.71,73.11
36,39,Valencia,Spanish Primera Division,2.13,0.87,72.85
37,44,Lyon,French Ligue 1,1.93,0.74,72.61
38,37,Villarreal,Spanish Primera Division,2.12,0.88,72.53
39,38,VfL Wolfsburg,German Bundesliga,1.85,0.69,72.38
40,34,Flamengo,Brasileiro Série A,2.08,0.88,71.72
41,48,Olympiacos,Greek Super League,1.99,0.82,71.65
42,40,Club Brugge,Belgian Jupiler League,1.99,0.83,71.48
43,41,TSG Hoffenheim,German Bundesliga,2.2,0.99,71.35
44,42,Osasuna,Spanish Primera Division,1.85,0.74,71.14
45,52,AZ,Dutch Eredivisie,2.11,0.95,70.88
46,45,Crystal Palace,Barclays Premier League,1.78,0.72,70.27
47,50,Lille,French Ligue 1,1.76,0.72,70.07
48,43,Shakhtar Donetsk,UEFA Champions League,2.13,1.01,69.87
49,46,Schalke 04,German Bundesliga,1.95,0.87,69.8
50,57,Marseille,French Ligue 1,1.82,0.78,69.75
51,62,Granada,Spanish Primera Division,1.72,0.7,69.63
52,51,Sheffield United,Barclays Premier League,1.76,0.74,69.54
53,65,Basel,Swiss Raiffeisen Super League,2.14,1.04,69.38
54,47,Burnley,Barclays Premier League,1.89,0.84,69.3
55,55,Real Betis,Spanish Primera Division,1.96,0.9,69.28
56,61,Brighton and Hove Albion,Barclays Premier League,1.88,0.86,68.71
57,49,Celtic,Scottish Premiership,1.99,0.95,68.58
58,58,Leeds United,English League Championship,1.74,0.77,68.51
59,60,Espanyol,Spanish Primera Division,1.82,0.84,68.28
60,54,Celta Vigo,Spanish Primera Division,1.76,0.79,68.2
61,56,Eibar,Spanish Primera Division,1.75,0.78,68.19
62,59,FC Krasnodar,Russian Premier Liga,1.8,0.82,68.11
63,53,AFC Bournemouth,Barclays Premier League,1.9,0.91,67.86
64,66,Fiorentina,Italy Serie A,1.86,0.9,67.58
65,63,Werder Bremen,German Bundesliga,2.03,1.05,67.15
66,79,AS Monaco,French Ligue 1,1.92,0.96,67.14
67,64,Rangers,Scottish Premiership,2.05,1.06,67.11
68,69,PAOK Salonika,Greek Super League,1.92,0.97,66.93
69,73,Southampton,Barclays Premier League,1.91,0.97,66.58
70,76,Watford,Barclays Premier League,1.77,0.86,66.52
71,74,Palmeiras,Brasileiro Série A,1.67,0.79,66.46
72,71,Dynamo Kiev,UEFA Europa League,1.93,1.0,66.42
73,67,Aston Villa,Barclays Premier League,1.94,1.02,66.09
74,78,Leganes,Spanish Primera Division,1.62,0.77,65.83
75,72,Dinamo Zagreb,UEFA Champions League,2.05,1.14,65.45
76,68,Alavés,Spanish Primera Division,1.72,0.87,65.41
77,88,Santos,Brasileiro Série A,1.6,0.78,65.25
78,75,Montpellier,French Ligue 1,1.57,0.76,65.1
79,77,River Plate,Argentina Primera Division,1.81,0.96,65.08
80,87,PSV,Dutch Eredivisie,2.09,1.19,65.05
81,85,LASK Linz,Austrian T-Mobile Bundesliga,1.8,0.96,64.93
82,70,West Ham United,Barclays Premier League,1.87,1.01,64.92
83,83,Newcastle,Barclays Premier League,1.7,0.89,64.5
84,81,Young Boys,Swiss Raiffeisen Super League,2.23,1.33,64.47
85,80,Hertha Berlin,German Bundesliga,1.88,1.05,64.44
86,95,FC Augsburg,German Bundesliga,1.88,1.08,63.71
87,94,1. FC Union Berlin,German Bundesliga,1.71,0.94,63.54
88,90,CSKA Moscow,Russian Premier Liga,1.63,0.88,63.38
89,93,Nantes,French Ligue 1,1.49,0.76,63.36
90,100,Slavia Prague,UEFA Champions League,1.92,1.13,63.19
91,96,Sporting CP,Portuguese Liga,1.68,0.93,63.1
92,97,Angers,French Ligue 1,1.53,0.82,62.73
