rank,name,confed,off,def,spi
1,Spain,UEFA,3.52,0.56,91.92
2,Brazil,CONMEBOL,2.88,0.37,90.29
3,Germany,UEFA,3.24,0.61,89.43
4,Belgium,UEFA,3.05,0.59,88.29
5,Argentina,CONMEBOL,2.67,0.41,88.04
6,England,UEFA,2.81,0.53,87.2
7,Netherlands,UEFA,2.82,0.58,86.42
8,France,UEFA,2.65,0.56,85.13
9,Colombia,CONMEBOL,2.21,0.4,83.26
10,Italy,UEFA,2.4,0.51,83.26
11,Uruguay,CONMEBOL,2.37,0.5,83.16
12,Portugal,UEFA,2.42,0.55,82.75
13,Croatia,UEFA,2.51,0.74,80.05
14,Switzerland,UEFA,2.44,0.7,79.98
15,Russia,UEFA,2.26,0.73,76.86
16,Mexico,CONCACAF,2.24,0.74,76.36
17,Chile,CONMEBOL,2.13,0.7,75.78
18,Denmark,UEFA,2.08,0.66,75.63
19,Sweden,UEFA,2.1,0.7,75.19
20,Austria,UEFA,2.02,0.72,73.34
21,Ukraine,UEFA,1.93,0.69,72.61
22,Peru,CONMEBOL,1.87,0.68,71.9
23,Algeria,CAF,2.02,0.79,71.8
24,Serbia,UEFA,2.14,0.9,71.24
25,Poland,UEFA,1.94,0.76,70.98
26,Ghana,CAF,1.6,0.54,70.44
27,Norway,UEFA,1.94,0.79,70.35
28,Japan,AFC,1.94,0.8,70.23
29,Venezuela,CONMEBOL,1.9,0.77,70.17
30,USA,CONCACAF,1.88,0.77,69.75
31,Senegal,CAF,1.67,0.62,69.73
32,Czech Republic,UEFA,1.98,0.88,69.13
33,Wales,UEFA,1.78,0.74,68.79
34,Bosnia and Herzegovina,UEFA,2.0,0.91,68.7
35,Paraguay,CONMEBOL,1.75,0.75,68.07
36,Ecuador,CONMEBOL,1.81,0.8,67.79
37,Turkey,UEFA,1.8,0.8,67.73
38,Iran,AFC,1.71,0.73,67.62
39,Australia,AFC,1.92,0.9,67.34
40,Morocco,CAF,1.67,0.72,66.91
41,Slovakia,UEFA,1.89,0.96,65.67
42,Mali,CAF,1.62,0.75,65.51
43,Ivory Coast,CAF,1.64,0.83,63.94
44,Nigeria,CAF,1.87,1.05,63.23
45,South Korea,AFC,1.48,0.74,62.52
46,Tunisia,CAF,1.62,0.88,62.03
47,Costa Rica,CONCACAF,1.62,0.89,61.93
48,Greece,UEFA,1.51,0.8,61.67
49,Iceland,UEFA,1.74,1.02,61.29
50,Romania,UEFA,1.59,0.92,60.54
51,Cameroon,CAF,1.41,0.81,59.37
52,Iraq,AFC,1.46,0.86,59.17
53,Northern Ireland,UEFA,1.46,0.87,58.76
54,Egypt,CAF,1.49,0.91,58.7
55,Qatar,AFC,1.61,1.02,58.57
56,Scotland,UEFA,1.6,1.02,58.33
57,Rep of Ireland,UEFA,1.39,0.83,58.14
58,Finland,UEFA,1.55,0.98,58.08
59,Slovenia,UEFA,1.5,0.95,58.01
60,Canada,CONCACAF,1.7,1.16,57.25
61,Israel,UEFA,1.67,1.23,55.16
62,Honduras,CONCACAF,1.6,1.16,55.12
63,Uzbekistan,AFC,1.53,1.09,55.03
64,Zambia,CAF,1.65,1.24,54.56
65,Guinea,CAF,1.45,1.05,54.43
66,Hungary,UEFA,1.48,1.08,54.32
67,Kosovo,UEFA,1.48,1.11,53.68
68,Congo DR,CAF,1.48,1.12,53.49
69,Bolivia,CONMEBOL,1.54,1.19,53.1
70,Saudi Arabia,AFC,1.57,1.22,53.09
71,Burkina Faso,CAF,1.3,1.0,51.99
72,Georgia,UEFA,1.4,1.11,51.86
73,Gabon,CAF,1.19,0.94,50.81
74,Haiti,CONCACAF,1.47,1.23,50.56
75,Uganda,CAF,1.13,0.89,50.39
76,Belarus,UEFA,1.31,1.09,50.22
77,FYR Macedonia,UEFA,1.31,1.09,50.19
78,Montenegro,UEFA,1.35,1.16,49.59
79,Panama,CONCACAF,1.29,1.09,49.55
80,South Africa,CAF,1.34,1.15,49.51
81,China PR,AFC,1.2,1.02,49.21
82,Bahrain,AFC,1.13,0.97,48.51
83,Bulgaria,UEFA,1.28,1.17,47.69
84,Libya,CAF,1.38,1.27,47.67
85,Tanzania,CAF,1.32,1.22,47.44
86,Albania,UEFA,1.26,1.17,47.05
87,Benin,CAF,1.19,1.11,46.69
88,Jamaica,CONCACAF,1.31,1.25,46.4
89,Zimbabwe,CAF,1.28,1.23,46.09
90,Angola,CAF,1.18,1.13,46.05
91,Togo,CAF,1.19,1.17,45.27
92,Armenia,UEFA,1.52,1.58,44.57
93,Kenya,CAF,1.02,1.03,44.23
94,Guatemala,CONCACAF,1.32,1.37,44.2
95,New Zealand,OFC,1.26,1.3,44.18
96,Congo,CAF,1.34,1.4,44.08
97,Cape Verde Islands,CAF,1.11,1.16,43.81
98,El Salvador,CONCACAF,1.1,1.17,43.24
99,Curacao,CONCACAF,1.29,1.47,41.53
100,Jordan,AFC,0.96,1.08,41.38
101,Oman,AFC,1.08,1.24,41.19
102,Malawi,CAF,0.71,0.84,39.93
103,Mozambique,CAF,1.1,1.35,39.43
104,United Arab Emirates,AFC,1.07,1.31,39.38
105,Gambia,CAF,1.15,1.41,39.31
106,Burundi,CAF,0.91,1.13,39.11
107,Mauritania,CAF,1.03,1.28,38.99
108,Equatorial Guinea,CAF,1.08,1.35,38.91
109,Kuwait,AFC,1.06,1.34,38.47
110,Namibia,CAF,0.81,1.04,38.2
111,Madagascar,CAF,1.13,1.44,38.15
112,Cyprus,UEFA,1.1,1.43,37.7
113,Kazakhstan,UEFA,1.12,1.46,37.57
114,Liberia,CAF,1.05,1.37,37.46
115,Trinidad and Tobago,CONCACAF,1.09,1.44,37.24
116,Botswana,CAF,0.74,1.01,36.94
117,Luxembourg,UEFA,1.15,1.53,36.82
118,Syria,AFC,1.39,1.84,36.68
119,Estonia,UEFA,0.91,1.32,35.0
120,Rwanda,CAF,0.79,1.19,34.59
121,Cuba,CONCACAF,0.89,1.31,34.58
122,Sudan,CAF,0.85,1.26,34.55
123,Azerbaijan,UEFA,0.96,1.41,34.5
124,Bermuda,CONCACAF,1.23,1.82,33.37
125,Lesotho,CAF,0.83,1.31,33.11
126,Central African Republic,CAF,1.12,1.72,32.76
127,St. Kitts and Nevis,CONCACAF,1.15,1.76,32.67
128,Lebanon,AFC,0.58,1.02,32.11
129,Guinea-Bissau,CAF,0.96,1.56,31.83
130,Vietnam,AFC,0.68,1.19,31.55
131,Dominican Republic,CONCACAF,1.1,1.78,31.24
132,Sierra Leone,CAF,0.99,1.67,30.55
133,Lithuania,UEFA,0.99,1.68,30.4
134,Moldova,UEFA,0.85,1.5,30.21
135,Nicaragua,CONCACAF,0.9,1.58,30.03
136,Ethiopia,CAF,0.69,1.3,29.77
137,Thailand,AFC,0.9,1.59,29.77
138,Niger,CAF,0.84,1.51,29.71
139,Chad,CAF,0.94,1.66,29.6
140,North Korea,AFC,0.87,1.59,28.99
141,Comoros,CAF,0.9,1.65,28.76
142,Palestine,AFC,0.77,1.47,28.47
143,Kyrgyzstan,AFC,0.85,1.62,28.08
144,Turkmenistan,AFC,0.87,1.73,26.68
145,Martinique,CONCACAF,0.94,1.85,26.34
146,Fiji,OFC,0.69,1.5,26.09
147,Latvia,UEFA,0.83,1.75,25.45
148,Guyana,CONCACAF,1.13,2.22,25.06
